Species,Official gene symbol,UI,Sensitivity (human),Sensitivity (mouse),Specificity (human),Specificity (mouse),Cell type,Germ layer,Organ,Aliases,Product description,Disease,Action
Mm Hs,HES1,0.129,0.0,0.714,0.146,0.127,Principal cells,Mesoderm,Kidney,"FLJ20408,HES-1,Hes1,bHLHb39,HRY",hes family bHLH transcription factor 1,,flag
Mm Hs,ACER2,0.012,0.0,0.0,0.0,0.014,Principal cells,Mesoderm,Kidney,"FLJ41587,ALKCDase2,ASAH3L",alkaline ceramidase 2,,flag
Mm Hs,AQP4,0.024,0.0,0.0,0.006,0.029,Principal cells,Mesoderm,Kidney,MIWC,aquaporin 4,,flag
Mm Hs,FZD1,0.01,0.0,0.0,0.003,0.012,Principal cells,Mesoderm,Kidney,DKFZp564G072,frizzled class receptor 1,,flag
Mm Hs,GATA3,0.03,0.0,1.0,0.02,0.029,Principal cells,Mesoderm,Kidney,HDR,GATA binding protein 3,Y,flag
Mm Hs,LGALS3,0.164,0.0,1.0,0.309,0.128,Principal cells,Mesoderm,Kidney,"MAC-2,GALIG,LGALS2",galectin 3,,flag
Mm Hs,PTGES,0.013,0.0,0.429,0.004,0.013,Principal cells,Mesoderm,Kidney,"MGST-IV,PIG12,MGST1-L1,TP53I12,MGST1L1",prostaglandin E synthase,,flag
Mm Hs,TSPAN1,0.028,0.0,0.0,0.065,0.0,Principal cells,Mesoderm,Kidney,"TSPAN-1,NET-1",tetraspanin 1,,flag
Mm Hs,KLK1,0.013,0.0,0.286,0.008,0.014,Principal cells,Mesoderm,Kidney,Klk6,kallikrein 1,Y,flag
Mm Hs,SLC5A12,0.001,0.0,0.0,0.0,0.0,Proximal tubule cells,Mesoderm,Kidney,"MGC52019,SMCT2",solute carrier family 5 member 12,,flag
Mm,KAP,0.007,0.0,0.7,0.0,0.006,Proximal tubule cells,Mesoderm,Kidney,,kidney androgen regulated protein,,flag
Mm Hs,AOAH,0.004,0.0,0.014,0.006,0.004,Proximal tubule cells,Mesoderm,Kidney,,acyloxyacyl hydrolase,,flag
Mm Hs,SLC13A1,0.002,1.0,0.0,0.0,0.0,Proximal tubule cells,Mesoderm,Kidney,"NaSi-1,NAS1",solute carrier family 13 member 1,,flag
Mm Hs,ABCC2,0.004,0.0,0.114,0.001,0.004,Proximal tubule cells,Mesoderm,Kidney,"DJS,cMRP,CMOAT",ATP binding cassette subfamily C member 2,Y,flag
Mm Hs,PKHD1,0.005,0.0,0.057,0.014,0.003,Proximal tubule cells,Mesoderm,Kidney,"ARPKD,FCYT,FPC,TIGM1","PKHD1, fibrocystin/polyductin",Y,flag
Mm Hs,SLC9A8,0.001,0.0,0.0,0.0,0.0,Proximal tubule cells,Mesoderm,Kidney,"KIAA0939,NHE8",solute carrier family 9 member A8,,flag
Mm,SLC22A19,0.0,,,,,Proximal tubule cells,Mesoderm,Kidney,,"solute carrier family 22 (organic anion transporter), member 19",,flag
,TMEM27,0.011,1.0,0.0,0.003,0.0,Proximal tubule cells,Mesoderm,Kidney,,,,flag
Mm Hs,SCIN,0.006,0.0,0.0,0.01,0.0,Proximal tubule cells,Mesoderm,Kidney,KIAA1905,scinderin,,flag
Mm Hs,GSTA2,0.007,0.0,0.386,0.01,0.005,Proximal tubule cells,Mesoderm,Kidney,GST2,glutathione S-transferase alpha 2,,flag
Mm Hs,CRYL1,0.018,1.0,0.329,0.021,0.016,Proximal tubule cells,Mesoderm,Kidney,"lambda-CRY,MGC149525,MGC149526",crystallin lambda 1,,flag
Mm Hs,MIOX,0.005,0.0,0.986,0.0,0.001,Proximal tubule cells,Mesoderm,Kidney,ALDRL6,myo-inositol oxygenase,,flag
Mm Hs,SLC34A1,0.004,1.0,0.0,0.0,0.0,Proximal tubule cells,Mesoderm,Kidney,"NAPI-3,NPTIIa,SLC11,NPT2,SLC17A2",solute carrier family 34 member 1,Y,flag
Mm Hs,TTC36,0.002,0.0,0.0,0.001,0.0,Proximal tubule cells,Mesoderm,Kidney,HBP21,tetratricopeptide repeat domain 36,,flag
Mm Hs,ASS1,0.048,1.0,0.929,0.04,0.045,Proximal tubule cells,Mesoderm,Kidney,"CTLN1,ASS",argininosuccinate synthase 1,Y,flag
Mm Hs,PCK1,0.008,1.0,0.9,0.015,0.003,Proximal tubule cells,Mesoderm,Kidney,PEPCK-C,phosphoenolpyruvate carboxykinase 1,Y,flag
Mm Hs,FUT9,0.039,0.0,0.814,0.002,0.045,Proximal tubule cells,Mesoderm,Kidney,Fuc-TIX,fucosyltransferase 9,,flag
Mm Hs,KHK,0.037,0.0,0.871,0.0,0.041,Proximal tubule cells,Mesoderm,Kidney,,ketohexokinase,Y,flag
Mm Hs,SLC4A4,0.033,1.0,0.0,0.012,0.0,Proximal tubule cells,Mesoderm,Kidney,"NBC1,HNBC1,NBC2,pNBC,hhNMC,SLC4A5",solute carrier family 4 member 4,Y,flag
Mm Hs,GLYAT,0.004,1.0,0.757,0.002,0.001,Proximal tubule cells,Mesoderm,Kidney,"GAT,ACGNAT",glycine-N-acyltransferase,,flag
Mm Hs,FBP1,0.016,1.0,0.786,0.015,0.014,Proximal tubule cells,Mesoderm,Kidney,,fructose-bisphosphatase 1,Y,flag
Mm Hs,SLC22A6,0.003,0.0,0.0,0.0,0.0,Proximal tubule cells,Mesoderm,Kidney,"ROAT1,PAHT,OAT1",solute carrier family 22 member 6,,flag
Mm Hs,SLC22A12,0.002,0.0,0.0,0.0,0.0,Proximal tubule cells,Mesoderm,Kidney,"OAT4L,RST,URAT1",solute carrier family 22 member 12,Y,flag
Mm Hs,SLC47A1,0.002,0.0,0.0,0.0,0.0,Proximal tubule cells,Mesoderm,Kidney,"FLJ10847,MATE1",solute carrier family 47 member 1,,flag
Mm Hs,NOX4,0.003,0.0,0.314,0.0,0.002,Proximal tubule cells,Mesoderm,Kidney,"KOX-1,KOX",NADPH oxidase 4,,flag
Mm Hs,SLC17A1,0.002,0.0,0.0,0.0,0.0,Proximal tubule cells,Mesoderm,Kidney,"NAPI-1,NPT1",solute carrier family 17 member 1,,flag
Mm Hs,SLC13A3,0.002,0.0,0.0,0.002,0.0,Proximal tubule cells,Mesoderm,Kidney,"NADC3,SDCT2",solute carrier family 13 member 3,,flag
Mm Hs,CYP2E1,0.003,0.0,0.329,0.004,0.002,Proximal tubule cells,Mesoderm,Kidney,CYP2E,cytochrome P450 family 2 subfamily E member 1,,flag
Mm Hs,SLC22A8,0.021,0.0,0.0,0.0,0.0,Proximal tubule cells,Mesoderm,Kidney,OAT3,solute carrier family 22 member 8,,flag
Mm Hs,FOLR1,0.017,1.0,0.371,0.009,0.018,Proximal tubule cells,Mesoderm,Kidney,FOLR,folate receptor 1,Y,flag
Mm Hs,SLC7A13,0.001,0.0,0.0,0.0,0.0,Proximal tubule cells,Mesoderm,Kidney,"AGT-1,XAT2",solute carrier family 7 member 13,,flag
Mm Hs,AK4,0.008,1.0,0.157,0.015,0.004,Proximal tubule cells,Mesoderm,Kidney,AK3,adenylate kinase 4,,flag
Mm Hs,SLC5A8,0.003,1.0,0.0,0.002,0.0,Proximal tubule cells,Mesoderm,Kidney,AIT,solute carrier family 5 member 8,,flag
Mm Hs,SLC22A1,0.003,0.0,0.0,0.002,0.0,Proximal tubule cells,Mesoderm,Kidney,,solute carrier family 22 member 1,,flag
Mm Hs,GHR,0.019,0.0,0.414,0.001,0.021,Proximal tubule cells,Mesoderm,Kidney,GHBP,growth hormone receptor,Y,flag
Mm Hs,UPB1,0.001,0.0,0.0,0.0,0.0,Proximal tubule cells,Mesoderm,Kidney,BUP1,beta-ureidopropionase 1,Y,flag
Mm Hs,SLC17A3,0.001,0.0,0.0,0.0,0.0,Proximal tubule cells,Mesoderm,Kidney,NPT4,solute carrier family 17 member 3,Y,flag
Mm Hs,GCDH,0.007,0.0,0.329,0.002,0.007,Proximal tubule cells,Mesoderm,Kidney,ACAD5,glutaryl-CoA dehydrogenase,Y,flag
Mm Hs,GSTZ1,0.024,0.0,0.271,0.045,0.016,Proximal tubule cells,Mesoderm,Kidney,"GSTZ1-1,MAAI,MAI",glutathione S-transferase zeta 1,,flag
Mm Hs,ASL,0.017,0.0,0.157,0.015,0.017,Proximal tubule cells,Mesoderm,Kidney,,argininosuccinate lyase,Y,flag
Mm Hs,FAH,0.009,1.0,0.271,0.012,0.006,Proximal tubule cells,Mesoderm,Kidney,,fumarylacetoacetate hydrolase,Y,flag
Mm,SLCO1A6,0.001,,,,,Proximal tubule cells,Mesoderm,Kidney,,"solute carrier organic anion transporter family, member 1a6",,flag
Mm,ECI3,0.001,0.0,0.229,0.0,0.0,Proximal tubule cells,Mesoderm,Kidney,,enoyl-Coenzyme A delta isomerase 3,,flag
Mm Hs,TMEM106A,0.014,0.0,0.0,0.001,0.0,Proximal tubule cells,Mesoderm,Kidney,MGC20235,transmembrane protein 106A,,flag
Mm Hs,NAPSA,0.054,0.0,0.386,0.008,0.061,Proximal tubule cells,Mesoderm,Kidney,"NAPA,Kdap",napsin A aspartic peptidase,,flag
Mm Hs,AQP1,0.037,0.0,0.357,0.018,0.041,Proximal tubule cells,Mesoderm,Kidney,"CHIP28,CO",aquaporin 1 (Colton blood group),Y,flag
Mm Hs,CLDN2,0.009,0.0,0.157,0.003,0.01,Proximal tubule cells,Mesoderm,Kidney,,claudin 2,,flag
Mm Hs,DPP4,0.02,1.0,0.014,0.013,0.021,Proximal tubule cells,Mesoderm,Kidney,"CD26,ADCP2",dipeptidyl peptidase 4,,flag
Mm Hs,ENPEP,0.011,1.0,0.014,0.006,0.013,Proximal tubule cells,Mesoderm,Kidney,"gp160,CD249",glutamyl aminopeptidase,,flag
Mm Hs,SLC36A2,0.003,0.0,0.0,0.0,0.0,Proximal tubule cells,Mesoderm,Kidney,"PAT2,tramdorin,TRAMD1",solute carrier family 36 member 2,Y,flag
Mm Hs,SLC5A1,0.011,0.0,0.0,0.002,0.0,Proximal tubule cells,Mesoderm,Kidney,"D22S675,NAGT,SGLT1",solute carrier family 5 member 1,Y,flag
Mm Hs,SLC6A18,0.001,0.0,0.0,0.0,0.0,Proximal tubule cells,Mesoderm,Kidney,"FLJ31236,Xtrp2",solute carrier family 6 member 18,,flag
Mm Hs,SLC6A19,0.006,0.0,0.0,0.0,0.0,Proximal tubule cells,Mesoderm,Kidney,,solute carrier family 6 member 19,Y,flag
Mm,SLC6A20B,0.0,,,,,Proximal tubule cells,Mesoderm,Kidney,,"solute carrier family 6 (neurotransmitter transporter), member 20B",,flag
Mm Hs,SLC5A2,0.001,0.0,0.0,0.007,0.0,Proximal tubule cells,Mesoderm,Kidney,SGLT2,solute carrier family 5 member 2,Y,flag
Mm Hs,LRP2,0.01,1.0,0.786,0.005,0.008,Proximal tubule cells,Mesoderm,Kidney,gp330,LDL receptor related protein 2,Y,flag
Mm Hs,PDZK1,0.002,1.0,0.029,0.003,0.001,Proximal tubule cells,Mesoderm,Kidney,"PDZD1,NHERF3",PDZ domain containing 1,,flag
Mm Hs,SLC22A7,0.001,0.0,0.0,0.0,0.0,Proximal tubule cells,Mesoderm,Kidney,"NLT,OAT2",solute carrier family 22 member 7,,flag
Mm Hs,SLC16A9,0.001,0.0,0.0,0.003,0.0,Proximal tubule cells,Mesoderm,Kidney,"FLJ43803,MCT9,C10orf36",solute carrier family 16 member 9,,flag
Mm Hs,AGXT2,0.001,0.0,0.0,0.0,0.001,Proximal tubule cells,Mesoderm,Kidney,AGT2,alanine--glyoxylate aminotransferase 2,,flag
Mm Hs,SORD,0.033,0.0,0.0,0.01,0.0,Proximal tubule cells,Mesoderm,Kidney,,sorbitol dehydrogenase,,flag
Mm Hs,SOD3,0.027,0.0,0.0,0.061,0.0,Proximal tubule cells,Mesoderm,Kidney,EC-SOD,superoxide dismutase 3,,flag
Mm Hs,HNF4A,0.019,0.0,0.343,0.008,0.02,Proximal tubule cells,Mesoderm,Kidney,"NR2A1,HNF4,TCF14,MODY,MODY1",hepatocyte nuclear factor 4 alpha,Y,flag
Mm Hs,NME4,0.077,0.0,0.0,0.205,0.04,Proximal tubule cells,Mesoderm,Kidney,"nm23-H4,NM23H4,NDPKD",NME/NM23 nucleoside diphosphate kinase 4,,flag
Mm Hs,APOE,0.343,1.0,0.2,0.132,0.39,Proximal tubule cells,Mesoderm,Kidney,AD2,apolipoprotein E,Y,flag
Mm Hs,HGD,0.003,1.0,0.229,0.004,0.001,Proximal tubule cells,Mesoderm,Kidney,"HGO,AKU","homogentisate 1,2-dioxygenase",Y,flag
Mm Hs,OSGIN1,0.006,0.0,0.043,0.003,0.006,Proximal tubule cells,Mesoderm,Kidney,"BDGI,OKL38",oxidative stress induced growth inhibitor 1,,flag
Mm Hs,HSD11B1,0.022,0.0,0.0,0.01,0.025,Proximal tubule cells,Mesoderm,Kidney,"SDR26C1,HSD11B,HSD11",hydroxysteroid 11-beta dehydrogenase 1,Y,flag
Mm Hs,SERPINF2,0.005,1.0,0.0,0.009,0.0,Proximal tubule cells,Mesoderm,Kidney,"API,ALPHA-2-PI,A2AP,AAP,PLI",serpin family F member 2,Y,flag
Mm Hs,HAAO,0.002,0.0,0.1,0.001,0.001,Proximal tubule cells,Mesoderm,Kidney,,"3-hydroxyanthranilate 3,4-dioxygenase",,flag
Mm Hs,PPIC,0.114,0.0,0.043,0.086,0.12,Proximal tubule cells,Mesoderm,Kidney,CYPC,peptidylprolyl isomerase C,,flag
Mm Hs,TFF3,0.022,0.0,0.0,0.045,0.0,Proximal tubule cells,Mesoderm,Kidney,"HITF,ITF",trefoil factor 3,,flag
Mm Hs,GNG13,0.006,0.0,0.0,0.0,0.008,Proximal tubule cells,Mesoderm,Kidney,"h2-35,G(gamma)13",G protein subunit gamma 13,,flag
Mm Hs,SLC23A3,0.0,0.0,0.0,0.0,0.0,Proximal tubule cells,Mesoderm,Kidney,"SVCT3,FLJ31168,Yspl1",solute carrier family 23 member 3,,flag
Mm Hs,GC,0.009,0.0,0.029,0.014,0.008,Proximal tubule cells,Mesoderm,Kidney,"VDBP,hDBP","GC, vitamin D binding protein",,flag
Mm Hs,CACNG5,0.003,0.0,0.0,0.0,0.003,Proximal tubule cells,Mesoderm,Kidney,,calcium voltage-gated channel auxiliary subunit gamma 5,,flag
Mm Hs,TGFBI,0.065,0.0,0.0,0.065,0.0,Proximal tubule cells,Mesoderm,Kidney,"BIGH3,CDB1,CDGG1,CSD3,LCD1,CSD1,CSD2",transforming growth factor beta induced,Y,flag
Mm Hs,RBP4,0.032,0.0,0.0,0.038,0.0,Proximal tubule cells,Mesoderm,Kidney,,retinol binding protein 4,Y,flag
Mm Hs,ALPL,0.009,0.0,0.129,0.004,0.01,Proximal tubule cells,Mesoderm,Kidney,"TNSALP,TNALP,TNAP,HOPS","alkaline phosphatase, liver/bone/kidney",Y,flag
Mm Hs,G6PC,0.002,0.0,0.243,0.0,0.001,Proximal tubule cells,Mesoderm,Kidney,"GSD1a,G6PT",glucose-6-phosphatase catalytic subunit,Y,flag
Mm,KEG1,0.004,0.0,0.814,0.0,0.001,Proximal tubule cells,Mesoderm,Kidney,,kidney expressed gene 1,,flag
Mm Hs,SLC22A13,0.0,0.0,0.0,0.0,0.0,Proximal tubule cells,Mesoderm,Kidney,"OCTL1,OCTL3,OAT10,ORCTL3",solute carrier family 22 member 13,,flag
Mm Hs,EMP2,0.065,0.0,1.0,0.09,0.055,Pulmonary alveolar type I cells,Endoderm,Lungs,XMP,epithelial membrane protein 2,Y,flag
Mm Hs,VEGFA,0.021,0.0,0.0,0.025,0.0,Pulmonary alveolar type I cells,Endoderm,Lungs,"VEGF-A,VPF,VEGF",vascular endothelial growth factor A,Y,flag
Mm Hs,KRT7,0.056,0.0,1.0,0.101,0.045,Pulmonary alveolar type I cells,Endoderm,Lungs,"CK7,K2C7",keratin 7,,flag
Mm Hs,IGFBP6,0.039,0.0,0.676,0.084,0.028,Pulmonary alveolar type I cells,Endoderm,Lungs,,insulin like growth factor binding protein 6,,flag
Mm Hs,PXDC1,0.028,0.0,0.824,0.002,0.033,Pulmonary alveolar type I cells,Endoderm,Lungs,C6orf145,PX domain containing 1,,flag
Mm Hs,AQP3,0.025,0.0,0.0,0.071,0.016,Pulmonary alveolar type I cells,Endoderm,Lungs,GIL,aquaporin 3 (Gill blood group),Y,flag
Mm Hs,CRLF1,0.015,0.0,0.618,0.005,0.016,Pulmonary alveolar type I cells,Endoderm,Lungs,"CLF-1,CISS,CISS1",cytokine receptor like factor 1,Y,flag
Mm Hs,EGFL6,0.01,0.0,0.0,0.008,0.011,Pulmonary alveolar type I cells,Endoderm,Lungs,MAEG,EGF like domain multiple 6,,flag
Mm Hs,FSTL3,0.004,0.0,0.0,0.015,0.0,Pulmonary alveolar type I cells,Endoderm,Lungs,"FLRG,FSRP",follistatin like 3,,flag
Mm Hs,MEX3B,0.004,0.0,0.0,0.011,0.003,Pulmonary alveolar type I cells,Endoderm,Lungs,"DKFZp434J0617,RNF195,RKHD3",mex-3 RNA binding family member B,,flag
Mm Hs,RADIL,0.0,0.0,0.0,0.0,0.0,Pulmonary alveolar type I cells,Endoderm,Lungs,"FLJ10324,KIAA1849,RASIP2",Rap associating with DIL domain,,flag
Mm Hs,SMARCA1,0.015,0.0,0.0,0.041,0.0,Pulmonary alveolar type I cells,Endoderm,Lungs,"NURF140,SWI,hSNF2L,SNF2L1,SNF2L","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1",,flag
Mm Hs,P2RX7,0.004,0.0,0.0,0.009,0.003,Pulmonary alveolar type I cells,Endoderm,Lungs,"P2X7,MGC20089",purinergic receptor P2X 7,,flag
Mm Hs,PDPN,0.062,0.0,0.971,0.023,0.07,Pulmonary alveolar type I cells,Endoderm,Lungs,"T1A-2,Gp38,aggrus,PA2.26",podoplanin,,flag
Mm Hs,AQP5,0.018,0.0,1.0,0.042,0.012,Pulmonary alveolar type I cells,Endoderm,Lungs,,aquaporin 5,Y,flag
Mm Hs,HOPX,0.033,0.0,1.0,0.092,0.02,Pulmonary alveolar type I cells,Endoderm,Lungs,"LAGY,OB1,NECC1,SMAP31",HOP homeobox,,flag
Mm Hs,MMP11,0.01,0.0,0.324,0.004,0.008,Pulmonary alveolar type I cells,Endoderm,Lungs,STMY3,matrix metallopeptidase 11,,flag
Mm Hs,ICAM1,0.009,0.0,0.294,0.006,0.009,Pulmonary alveolar type I cells,Endoderm,Lungs,CD54,intercellular adhesion molecule 1,Y,flag
Mm Hs,CTGF,0.028,0.0,0.618,0.1,0.011,Pulmonary alveolar type I cells,Endoderm,Lungs,"IGFBP8,CCN2",connective tissue growth factor,,flag
Mm Hs,SEMA3B,0.009,0.0,0.0,0.018,0.0,Pulmonary alveolar type I cells,Endoderm,Lungs,"SemA,semaV,LUCA-1,sema5,SEMAA",semaphorin 3B,,flag
Mm,GRAMD2,0.002,0.0,0.676,0.0,0.001,Pulmonary alveolar type I cells,Endoderm,Lungs,,GRAM domain containing 2,,flag
Mm Hs,SCNN1B,0.003,0.0,0.0,0.003,0.0,Pulmonary alveolar type I cells,Endoderm,Lungs,ENaCbeta,sodium channel epithelial 1 beta subunit,Y,flag
Mm Hs,SEMA3E,0.005,0.0,0.0,0.0,0.0,Pulmonary alveolar type I cells,Endoderm,Lungs,"M-SemaK,KIAA0331,coll-5,SEMAH",semaphorin 3E,Y,flag
Mm Hs,SCNN1G,0.002,0.0,0.0,0.0,0.0,Pulmonary alveolar type I cells,Endoderm,Lungs,"ENaCgamma,SCNEG",sodium channel epithelial 1 gamma subunit,Y,flag
Mm Hs,SCNN1A,0.008,0.0,0.0,0.011,0.0,Pulmonary alveolar type I cells,Endoderm,Lungs,"ENaCalpha,SCNN1",sodium channel epithelial 1 alpha subunit,Y,flag
Mm Hs,COL4A4,0.007,0.0,0.882,0.003,0.006,Pulmonary alveolar type I cells,Endoderm,Lungs,CA44,collagen type IV alpha 4 chain,Y,flag
Mm Hs,CYP4B1,0.018,0.0,0.588,0.013,0.018,Pulmonary alveolar type I cells,Endoderm,Lungs,,cytochrome P450 family 4 subfamily B member 1,,flag
Mm Hs,RTKN2,0.007,0.0,0.0,0.028,0.0,Pulmonary alveolar type I cells,Endoderm,Lungs,"Em:AC024597.2,bA531F24.1,FLJ39352,PLEKHK1",rhotekin 2,,flag
Mm Hs,CLIC5,0.016,0.0,0.971,0.013,0.015,Pulmonary alveolar type I cells,Endoderm,Lungs,DFNB102,chloride intracellular channel 5,Y,flag
Mm,CYP2B10,0.004,0.0,0.618,0.0,0.003,Pulmonary alveolar type I cells,Endoderm,Lungs,,"cytochrome P450, family 2, subfamily b, polypeptide 10",,flag
Mm Hs,AKAP5,0.006,0.0,0.971,0.0,0.006,Pulmonary alveolar type I cells,Endoderm,Lungs,"AKAP75,AKAP79",A-kinase anchoring protein 5,,flag
Mm Hs,GPRC5A,0.024,0.0,0.971,0.083,0.008,Pulmonary alveolar type I cells,Endoderm,Lungs,"RAIG1,PEIG-1,RAI3",G protein-coupled receptor class C group 5 member A,,flag
Mm Hs,SEC14L3,0.006,0.0,0.0,0.0,0.0,Pulmonary alveolar type I cells,Endoderm,Lungs,TAP2,SEC14 like lipid binding 3,,flag
Mm Hs,COL4A3,0.006,0.0,0.971,0.001,0.005,Pulmonary alveolar type I cells,Endoderm,Lungs,,collagen type IV alpha 3 chain,Y,flag
Mm Hs,CLDN18,0.01,0.0,1.0,0.004,0.01,Pulmonary alveolar type I cells,Endoderm,Lungs,SFTPJ,claudin 18,,flag
Mm Hs,AGER,0.011,0.0,1.0,0.001,0.011,Pulmonary alveolar type I cells,Endoderm,Lungs,SCARJ1,advanced glycosylation end-product specific receptor,,flag
Mm Hs,IRX1,0.009,0.0,0.432,0.0,0.007,Pulmonary alveolar type II cells,Endoderm,Lungs,IRX-5,iroquois homeobox 1,,flag
Mm Hs,EGFL6,0.01,0.0,0.667,0.008,0.005,Pulmonary alveolar type II cells,Endoderm,Lungs,MAEG,EGF like domain multiple 6,,flag
Mm Hs,CEBPA,0.025,0.0,0.265,0.0,0.028,Pulmonary alveolar type II cells,Endoderm,Lungs,"C/EBP-alpha,CEBP",CCAAT enhancer binding protein alpha,Y,flag
Mm Hs,NKX2-1,0.01,0.615,0.652,0.003,0.006,Pulmonary alveolar type II cells,Endoderm,Lungs,"TTF-1,TTF1,NKX2A,BCH,TITF1",NK2 homeobox 1,Y,flag
Mm Hs,MUC1,0.016,1.0,0.765,0.029,0.006,Pulmonary alveolar type II cells,Endoderm,Lungs,"CD227,PEM,ADMCKD,ADMCKD1,MCKD,MCKD1","mucin 1, cell surface associated",Y,flag
Mm Hs,CLDN18,0.01,0.769,0.894,0.001,0.004,Pulmonary alveolar type II cells,Endoderm,Lungs,SFTPJ,claudin 18,,flag
Mm Hs,AGER,0.011,0.308,0.97,0.0,0.005,Pulmonary alveolar type II cells,Endoderm,Lungs,SCARJ1,advanced glycosylation end-product specific receptor,,flag
Mm Hs,LAMP3,0.008,0.538,0.803,0.011,0.0,Pulmonary alveolar type II cells,Endoderm,Lungs,"TSC403,DC-LAMP,DCLAMP,CD208",lysosomal associated membrane protein 3,,flag
Mm Hs,SFTA2,0.01,0.923,0.0,0.002,0.0,Pulmonary alveolar type II cells,Endoderm,Lungs,SFTPG,surfactant associated 2,,flag
Mm Hs,SFTPD,0.01,0.923,0.0,0.001,0.0,Pulmonary alveolar type II cells,Endoderm,Lungs,"SP-D,COLEC7,SFTP4",surfactant protein D,,flag
Mm Hs,SLC34A2,0.01,1.0,0.0,0.003,0.0,Pulmonary alveolar type II cells,Endoderm,Lungs,NAPI-3B,solute carrier family 34 member 2,Y,flag
Mm,CXCL15,0.01,0.0,0.932,0.0,0.005,Pulmonary alveolar type II cells,Endoderm,Lungs,,chemokine (C-X-C motif) ligand 15,,flag
Mm Hs,SFTPB,0.015,1.0,0.0,0.019,0.0,Pulmonary alveolar type II cells,Endoderm,Lungs,"SP-B,SFTP3",surfactant protein B,Y,flag
Mm Hs,SFTPA1,0.015,1.0,0.0,0.014,0.0,Pulmonary alveolar type II cells,Endoderm,Lungs,"SP-A,SP-A1,COLEC4,SFTP1",surfactant protein A1,Y,flag
Mm Hs,SFTPC,0.029,1.0,0.0,0.019,0.0,Pulmonary alveolar type II cells,Endoderm,Lungs,"SP-C,PSP-C,SMDP2,BRICD6,SFTP2",surfactant protein C,Y,flag
Mm Hs,SDC1,0.046,0.0,0.0,0.047,0.0,Pulmonary alveolar type II cells,Endoderm,Lungs,"CD138,syndecan,SYND1,SDC",syndecan 1,,flag
Mm Hs,ADGRF5,0.047,0.538,0.591,0.016,0.05,Pulmonary alveolar type II cells,Endoderm,Lungs,"DKFZp564O1923,KIAA0758,GPR116",adhesion G protein-coupled receptor F5,,flag
Mm Hs,ABCD3,0.041,0.0,0.341,0.009,0.047,Pulmonary alveolar type II cells,Endoderm,Lungs,"PMP70,ZWS2",ATP binding cassette subfamily D member 3,Y,flag
Mm Hs,SOAT1,0.042,0.0,0.0,0.011,0.0,Pulmonary alveolar type II cells,Endoderm,Lungs,STAT,sterol O-acyltransferase 1,,flag
Mm Hs,ETV5,0.019,0.077,0.447,0.013,0.015,Pulmonary alveolar type II cells,Endoderm,Lungs,ERM,ETS variant 5,,flag
Mm Hs,CD36,0.042,0.231,0.841,0.034,0.037,Pulmonary alveolar type II cells,Endoderm,Lungs,"SCARB3,GPIV,GP4,GP3B",CD36 molecule,Y,flag
Mm Hs,LPCAT1,0.025,0.692,0.856,0.008,0.022,Pulmonary alveolar type II cells,Endoderm,Lungs,"FLJ12443,AYTL2",lysophosphatidylcholine acyltransferase 1,,flag
Mm Hs,NAPSA,0.054,1.0,0.871,0.004,0.056,Pulmonary alveolar type II cells,Endoderm,Lungs,"NAPA,Kdap",napsin A aspartic peptidase,,flag
Mm,CBR2,0.027,0.0,0.97,0.0,0.025,Pulmonary alveolar type II cells,Endoderm,Lungs,,carbonyl reductase 2,,flag
Mm Hs,ABCA3,0.001,0.692,0.008,0.001,0.001,Pulmonary alveolar type II cells,Endoderm,Lungs,"ABC-C,EST111653,LBM180,ABC3",ATP binding cassette subfamily A member 3,Y,flag
Mm,SCD1,0.036,,,,,Pulmonary alveolar type II cells,Endoderm,Lungs,,stearoyl-Coenzyme A desaturase 1,,flag
Mm Hs,S100G,0.024,0.0,0.0,0.0,0.0,Pulmonary alveolar type II cells,Endoderm,Lungs,"CABP9K,CABP1,CALB3",S100 calcium binding protein G,,flag
Mm,LYZ1,0.031,0.0,0.795,0.0,0.031,Pulmonary alveolar type II cells,Endoderm,Lungs,,lysozyme 1,,flag
Mm Hs,PGC,0.005,0.769,0.0,0.003,0.005,Pulmonary alveolar type II cells,Endoderm,Lungs,,progastricsin,,flag
Mm Hs,CXCR2,0.003,0.0,0.0,0.0,0.004,Pulmonary alveolar type II cells,Endoderm,Lungs,"CMKAR2,CD182,IL8RB",C-X-C motif chemokine receptor 2,,flag
Mm Hs,CXCL2,0.041,0.846,0.061,0.053,0.038,Pulmonary alveolar type II cells,Endoderm,Lungs,"SCYB2,GROb,MIP-2a,MGSA-b,CINC-2a,GRO2",C-X-C motif chemokine ligand 2,,flag
Hs,GRK2,0.001,0.0,0.0,0.008,0.0,Pulmonary alveolar type II cells,Endoderm,Lungs,"BARK1,ADRBK1",G protein-coupled receptor kinase 2,,flag
Mm Hs,RUNX3,0.018,0.0,0.0,0.021,0.0,Pulmonary alveolar type II cells,Endoderm,Lungs,"AML2,PEBP2A3,CBFA3",runt related transcription factor 3,,flag
Mm Hs,CTNND1,0.04,0.0,0.045,0.044,0.039,Pulmonary alveolar type II cells,Endoderm,Lungs,"KIAA0384,p120cas,p120ctn,CTNND",catenin delta 1,,flag
Mm,CD59A,0.033,0.0,0.0,0.0,0.042,Pulmonary alveolar type II cells,Endoderm,Lungs,,CD59a antigen,,flag
